Seed,Error
50494,0.06189171668962673
99346,0.04361238773290225
55125,0.03671710179557258
5306,0.03813567393854618
33936,0.04316790829402881
67013,0.041290182577985016
63691,0.03931734376165765
53075,0.03472386160561496
39755,0.038731326597733436
62468,0.042555664739516635
46930,0.03526302026720624
76465,0.040743805916423625
28631,0.03663836454208853
66150,0.03650646886445142
18254,0.042795942148727784
36941,0.03639022943390024
18316,0.04547050693812718
99064,0.03943855682358257
12429,0.04182926874599012
81050,0.039615598006421726
32834,0.036240589175279836
69804,0.041071118532672826
92428,0.03882854565356029
78892,0.046492753105944924
19262,0.03899497536800802
40651,0.044721138803527356
12945,0.04304485503869103
95660,0.044097476196852003
9665,0.04251733325263082
89651,0.04474307694773611
43279,0.04661666217597398
61884,0.04400734078593661
73375,0.04022281772771054
13199,0.04431761317837634
46372,0.040595513105826084
56907,0.04529234692489817
41444,0.04228926294180784
80070,0.0452107757525222
83941,0.040722179292481425
26801,0.03419515552670589
72420,0.04267156751508423
62522,0.04065420866729539
58024,0.03911256020262123
68334,0.04509341982191916
34143,0.0381169528117467
8163,0.04357479994141222
71919,0.040421412303957065
1840,0.04135554619704355
12225,0.0440437804778921
94333,0.04400953639587107
52274,0.03818030422437774
93094,0.03381838995243158
87576,0.03958940075639238
81954,0.038606474178078484
149,0.04193088432135696
80202,0.03858213318092361
64694,0.042739586043702905
43664,0.03658955428803366
31969,0.047764454703182385
95719,0.043600958466829674
42625,0.046577401709107936
92227,0.042815702649918186
8255,0.037351511976138035
25043,0.04559899662872663
74384,0.04300488249011712
29059,0.04220631116171988
31275,0.04321840430681051
18677,0.04474437815641826
71170,0.03402876715169052
58716,0.03539711696092425
11955,0.04146670097796529
10544,0.03691439973888075
41950,0.0429534361415656
66576,0.049213549072178675
64131,0.03767354104666164
14294,0.03878394819826902
39511,0.04523657504946114
72255,0.046749049442474905
38153,0.03687624689526145
92610,0.0457490421777743
16359,0.04129425752072871
71754,0.03998625800058604
43614,0.042731420906094164
70816,0.04293579157521641
26634,0.03628819278285025
79060,0.042999114433681616
71726,0.04023692259755908
77020,0.03984595293509006
37703,0.04032399847614995
58325,0.03612745842242127
12010,0.04561728664677733
78156,0.03848729317341826
50449,0.03863859989870247
41555,0.040230979427662746
75451,0.03305411868185453
31733,0.04247834915707207
38054,0.03947431068755874
24100,0.043826345204277445
24823,0.038697153352348114
24475,0.03798217663070527
4321,0.039656811175773375
80317,0.03789900676344796
86069,0.04238724520456439
34086,0.040657980924787764
62459,0.03521780999895441
9055,0.04248917245131713
11773,0.033827412567405735
88961,0.040287911807717444
99300,0.039923379126668226
17068,0.03992410197444647
19601,0.04567355683085607
5064,0.03804536066746229
10518,0.04600989647625716
91661,0.041766515808377785
70857,0.03708239251479435
89587,0.04311996717328832
51287,0.04663858363004474
92442,0.04127456822666416
68756,0.04172499248371791
36127,0.04283237586288029
68392,0.046960126202165685
30867,0.03825985760767559
28206,0.03602734692641177
89060,0.036148897501052095
77306,0.041341641728726126
54974,0.04004449082105566
75981,0.03948193314264157
36072,0.03997903529462746
59056,0.03931915140477173
64573,0.044619599017778684
86539,0.04037076993756368
84042,0.03830560828130923
91779,0.03691534164547092
46840,0.04430912617354674
10796,0.03996596976904778
42509,0.04318292120471328
80318,0.04150208240187187
15119,0.03685645247155476
63759,0.039801476928966684
76949,0.04030009165564254
82594,0.03378902575078293
43944,0.04246881006854534
24953,0.039555078590108386
31855,0.043539229455340354
2124,0.050717438930614984
95877,0.03820342273292688
35525,0.038485252078137085
15353,0.041278889040385416
92449,0.043139945346030356
28896,0.03951072112840743
48766,0.03457939659227441
22345,0.039523685891029094
43586,0.04283860379461283
55853,0.0419015365426722
8151,0.03777183403453586
13186,0.03512094517370776
19183,0.05269126123771572
91445,0.040327341983398525
28675,0.039188912497962455
5928,0.04181379391326651
75217,0.03951343288158172
83126,0.040095091814528874
70018,0.04049445341415768
78927,0.03919210803472894
89206,0.04408646368871692
9698,0.03985842877800921
3499,0.034895093897639645
16311,0.037755475267088036
83230,0.039180880852933045
24709,0.038121772984538047
79473,0.04155684545262342
75491,0.044284798295531246
15688,0.03494648516215899
51276,0.03568244978214395
11997,0.047916059253146195
48514,0.03630294499668862
15210,0.03748959847907616
4769,0.03893182405107889
79364,0.03322752727872314
2835,0.0443297388820738
25505,0.03706909004627255
24244,0.038902034397946275
94124,0.042968305309473216
16239,0.04750230103930311
62814,0.0428673723781327
27600,0.03489251430213495
95309,0.03963393555304778
8006,0.041984211068313064
89043,0.039905533495429135
2986,0.04132724503414119
71334,0.0447100672287112
55786,0.0431725491048421
81343,0.04729559856204139
13303,0.03886146462636254
34068,0.03907498424950415
9175,0.04680600719533931
28944,0.039730259062117745
9433,0.03720577236156866
84793,0.03935459437603891
39460,0.03714794963388906
